country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2389.73729784737,3.378350161882881,69.237,226305,0.226,68.3720919798341,3.695,139.02836609,0.62393672256468
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,38510.2276211037,4.585576085600065,77.31,32175224,32.175,84.1349430023993,2.14,1830.89074707,19.282874301046
Senegal,SEN,Sub-Saharan Africa,Lower middle income,1574.0281059306,3.1970124828779314,67.788,17651103,17.651,53.4435061024348,3.864,63.44842529,0.823959839790182
Serbia,SRB,Europe & Central Asia,Upper middle income,10024.8191112596,4.00107654491411,75.2365853658537,6664449,6.664,61.9013813540396,1.59,843.57733154,
Seychelles,SYC,Sub-Saharan Africa,High income,16682.6990711785,4.222266315899461,74.509756097561,119878,0.12,44.9108209981157,2.2,707.34448242,7.02714426333439
Sierra Leone,SLE,Sub-Saharan Africa,Low income,860.371067874555,2.934685797724614,61.275,8276807,8.277,44.2666343543487,3.876,41.31875229,0.177218098718503
Singapore,SGP,East Asia & Pacific,High income,91227.6970426492,4.960126711646723,82.8951219512195,5637022,5.637,100,1.04,3902.14428711,9.99582758413928
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,37793.1283815826,4.577412842767118,76.18,42139,0.042,100,1.453,,
Slovak Republic,SVK,Europe & Central Asia,High income,21317.7943982363,4.328742269293272,76.9658536585366,5431752,5.432,53.1902831072528,1.57,1642.39208984,6.11012800289851
Slovenia,SVN,Europe & Central Asia,High income,28360.3041467268,4.452710884075798,81.2829268292683,2112076,2.112,55.3377817873563,1.55,2737.84936523,6.3394025593776
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1877.78104490956,3.2736449507994747,70.409,781066,0.781,29.3511689856806,3.62,96.74864197,0.382810159448753
"Somalia, Fed. Rep.",SOM,Sub-Saharan Africa,Low income,573.141165798229,2.7582616027291738,53.931,17801897,17.802,53.5010115886789,6.255,16.31684875,0.0467871485830976
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,6534.24867783397,3.8151956586603766,65.454,62378410,62.378,63.4766699210327,2.227,570.48028564,6.88263936192025
Spain,ESP,Europe & Central Asia,High income,30319.4987196616,4.4817220167131655,83.1341463414634,47786102,47.786,79.9548794567814,1.16,2948.61474609,4.99422196018416
Sri Lanka,LKA,South Asia,Upper middle income,3342.63650438046,3.524089151727198,77.3,22181000,22.181,19.9877933196367,1.984,130.09327698,0.937608764257698
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,21011.5744209816,4.3224585958008275,70.313,46709,0.047,31.6156404983167,1.512,1161.22058105,2.78533045023443
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,12976.1489693474,4.113145822702021,72.67,178781,0.179,29.097678526676,1.387,622.07244873,1.65621626459187
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,9693.55867833025,3.9864832435764646,71.191,102046,0.102,47.585897833353,1.791,437.94085693,1.24551672775023
Sudan,SDN,Sub-Saharan Africa,Low income,1046.24084472656,3.019631670664751,65.695,49383346,49.383,34.7209852053086,4.384,25.75139618,0.434223310830335
Suriname,SUR,Latin America & Caribbean,Upper middle income,6084.43876736445,3.78422052480475,73.254,623164,0.623,65.8985443115234,2.274,344.74603271,4.59397526172885
Sweden,SWE,Europe & Central Asia,High income,54836.8907235124,4.739072822122161,83.0585365853659,10486941,10.487,88.4038576504809,1.53,6022.39257813,3.59996303974629
Switzerland,CHE,Europe & Central Asia,High income,97809.095567203,4.990379243038848,83.6048780487805,8777088,8.777,84.9206266284521,1.39,10930.13964844,3.92846693573085
Syrian Arab Republic,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income,1056.78264718197,3.023985673365943,72.79,22462173,22.462,72.6124992370605,2.746,53.26486588,1.38747039300249
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1052.17949484894,3.0220898338983866,71.562,10182222,10.182,26.1957126615618,3.127,78.61326599,0.938950260561987
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,1207.52062988281,3.081894559189788,66.879,64711821,64.712,34.8234736377147,4.671,35.93323135,0.323161976851185
