country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Guatemala,GTM,Latin America & Caribbean,Upper middle income,5356.92435887895,3.728915514068696,71.206,17847877,17.848,55.2581228215265,2.343,384.06158447,1.06185178214753
Guinea,GIN,Sub-Saharan Africa,Lower middle income,1416.59612011764,3.1512460479848845,60.432,14055137,14.055,37.2384967469106,4.303,53.2922287,0.371451377528373
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,881.602654162231,2.9452728890012168,63.605,2105529,2.106,45.1627159118652,3.911,68.01049042,0.163331875267451
Guyana,GUY,Latin America & Caribbean,High income,17913.4928066879,4.253180273664589,69.888,821637,0.822,26.4536735068183,2.437,452.23754883,4.48373186699236
Haiti,HTI,Latin America & Caribbean,Lower middle income,1748.40890116803,3.2426430088209997,63.948,11503606,11.504,53.8524949966907,2.699,52.28417587,0.294629353613119
Honduras,HND,Latin America & Caribbean,Lower middle income,3003.28996826399,3.4775972654448752,72.715,10463872,10.464,57.8364689017254,2.522,244.90408325,1.01020922274279
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,48825.0272275805,4.688642494146982,83.6609756097561,7346100,7.346,100,0.701,,4.37404881501749
Hungary,HUN,Europe & Central Asia,High income,18428.028825614,4.265478882916181,75.8682926829268,9605074,9.605,70.1585064243445,1.57,1228.00231934,4.95293425120931
Iceland,ISL,Europe & Central Asia,High income,76376.9599334915,4.882962367962609,82.119512195122,382003,0.382,94.1787071228028,1.589,6851.62939453,8.48003811488391
India,IND,South Asia,Lower middle income,2279.98145719369,3.357931314951679,71.698,1425423212,1425.423,34.7555673994206,1.994,81.50888824,1.96929618962877
Indonesia,IDN,East Asia & Pacific,Upper middle income,4730.83484836107,3.674937787258587,70.925,278830529,278.831,57.4934704226599,2.149,127.44384766,2.5918955237502
"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,4721.20437099984,3.6740528005321673,76.799,89524246,89.524,76.3342208862305,1.704,250.23272705,8.84742330027555
Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6520.73154560584,3.8142963209463145,72.037,44070551,44.071,69.8682861328125,3.294,283.17074585,5.04369459778254
Ireland,IRL,Europe & Central Asia,High income,105190.685952731,5.021977287171231,82.509756097561,5212836,5.213,63.8920250215059,1.51,6407.92333984,6.84581291258731
Isle of Man,IMN,Europe & Central Asia,High income,88328.548125887,4.946101091909816,80.956,84132,0.084,52.1955609162662,1.556,,
Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,54947.2091250715,4.739945638663748,82.7,9557500,9.557,91.4979834273327,2.89,4107.72998047,6.65826837562124
Italy,ITA,Europe & Central Asia,High income,35653.9042103495,4.552107093351199,82.7,59013667,59.014,69.4839779766539,1.24,3154.57104492,5.60897190137329
Jamaica,JAM,Latin America & Caribbean,Upper middle income,6626.47502388538,3.8212825653910394,71.481,2839144,2.839,57.9879906034775,1.372,521.12023926,2.64695978787973
Japan,JPN,East Asia & Pacific,High income,35548.2645222433,4.5508184031864305,83.9963414634146,125124989,125.125,91.9776532428406,1.26,4201.79248047,8.3956307081074
Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,4754.41362207378,3.6770969615676274,77.088,11256263,11.256,92.4048379066163,2.679,334.387146,2.07333464045749
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,11255.3396437881,4.051358604907164,73.503,20034609,20.035,61.444157327248,3.05,421.60028076,12.305086662784401
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2109.56288513137,3.324192476036214,63.549,54252461,54.252,31.4307820066946,3.262,91.18416595,0.405006512054817
Kiribati,KIR,East Asia & Pacific,Lower middle income,2078.7648751855,3.317805369954751,66.269,130469,0.13,60.5739126559419,3.182,217.68276978,0.580980922671286
"Korea, Rep.",KOR,East Asia & Pacific,High income,34822.4048404971,4.541858760259009,82.6804878048781,51672569,51.673,81.1624941626873,0.778,3078.55151367,11.8737409785064
Kosovo,XKX,Europe & Central Asia,Upper middle income,5298.1473871027,3.7241240355986363,77.623,1768096,1.768,47.8001996538455,1.555,,
Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income,39981.7691035833,4.601862006763735,80.5878048780488,4589643,4.59,100,1.546,1683.39929199,22.3585581710822
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1739.72018344174,3.2404794019840164,72.0487804878049,6975220,6.975,34.7003053497743,2.8,88.07954407,1.5054865652983
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2046.40440255621,3.3109914614601315,68.715,7559007,7.559,38.0682382805397,2.455,41.34779739,3.17918742501495
Latvia,LVA,Europe & Central Asia,High income,20221.103686109,4.305804856087112,74.2780487804878,1879383,1.879,68.2570218109034,1.47,1642.47131348,3.68567769315781
Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3654.35845534878,3.562811144971817,78.003,5744489,5.744,90.206313713022,2.263,230.39093018,1.81652362812428
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1030.12582947757,3.0128902768508765,56.812,2286110,2.286,41.6703965165322,2.716,133.32562256,0.42915695220265
Liberia,LBR,Sub-Saharan Africa,Low income,744.617175237387,2.8719330493747135,61.934,5373294,5.373,54.4591057083,4.016,100.49607086,0.161651307373094
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,5986.63694851258,3.7771829217437447,74.462,7223805,7.224,87.8486088593786,2.402,284.0262146,8.05301361263212
Liechtenstein,LIE,Europe & Central Asia,High income,188055.003235348,5.274284892390686,84.1219512195122,39493,0.039,14.6923070071538,1.47,10591.59277344,
Lithuania,LTU,Europe & Central Asia,High income,24946.5724005188,4.397010883033542,75.6439024390244,2831639,2.832,68.2866452426813,1.27,1831.27734375,4.65112254775415
Luxembourg,LUX,Europe & Central Asia,High income,123719.658915996,5.0924387140218546,82.9463414634147,653103,0.653,94.7605400940185,1.31,7022.62695313,11.1248914795982
"Macao SAR, China",MAC,East Asia & Pacific,High income,36806.891255461,4.565929138076574,83.0804878048781,677300,0.677,100,0.68,,2.47822235346228
Madagascar,MDG,Sub-Saharan Africa,Low income,504.059106969168,2.7024814656626788,63.068,30437261,30.437,31.5397813465886,4.036,15.85809231,0.144033985186775
Malawi,MWI,Sub-Saharan Africa,Low income,604.269740360317,2.7812308468985063,66.037,20568728,20.569,16.7146031979436,3.72,40.03453827,0.272369783877739
Malaysia,MYS,East Asia & Pacific,Upper middle income,11754.5678336248,4.070206666559876,75.444,34695493,34.695,75.9741357073003,1.55,458.21963501,7.98329915646393
Maldives,MDV,South Asia,Upper middle income,11786.0191492983,4.071367142378325,80.76,524106,0.524,41.0641769690663,1.583,883.91467285,3.4143856395462
Mali,MLI,Sub-Saharan Africa,Low income,976.914116406452,2.9898563852026605,60.035,23072640,23.073,30.4015705681899,5.692,31.0949192,0.324748273279521
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income,35658.8318250199,4.552167111686848,82.2975609756098,531113,0.531,95.6003155132879,1.08,3362.42382813,3.3821427831742
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,6455.6603538189,3.8099406731479517,66.725,40077,0.04,77.9855966195187,2.936,859.050354,0.00249519674626344
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1961.28166648869,3.292539968689461,68.281,4875637,4.876,58.8120996197226,4.77,91.54125977,1.03090119301334
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,10246.5017455553,4.010575618375259,73.5146341463415,1262523,1.263,39.0000125885784,1.33,590.91522217,3.20778314533676
